Id;Brand;Model;Generation;Version;Length;Width;Height;Wheel Base;Petrol min cap;Petrol max cap;Petrol min hp;Petrol max hp;Avg weight;Price
693;renault;laguna;3 (2007 - 2015);laguna 3 phase 2;469.5;181.1;144.5;275.6;1997;1998;140;204;1494.5;23001.4375
694;renault;laguna;3 (2007 - 2015);laguna 3 phase 1 grand tour;480.3;181.1;144.5;275.6;1997;1998;140;204;1551.5;23001.4375
695;renault;master;master iii (2010 - present);master 3 phase 3 combi;557.5;207.0;248.2;368.2;0;0;0;0;2275.0;31735.933333333334
696;renault;master;master iii (2010 - present);master 3 phase 3;507.5;207.0;230.7;318.2;0;0;0;0;2135.5;31735.933333333334
697;renault;master;master iii (2010 - present);master 3 phase 2;504.8;207.0;230.7;318.2;0;0;0;0;2074.5;31735.933333333334
698;renault;megane;i;1996;412.9;169.9;142.0;258.0;1390;1998;75;150;1060.0;6219.827586206897
699;renault;modus;none;none;379.2;169.5;158.9;248.2;1149;1598;65;112;1167.5;10860.5625
700;renault;scenic;i;1997;417.0;170.0;168.0;258.0;1390;1998;95;140;1302.5;5109.0
701;renault;scenic;i;scenic 3 phase 2;436.6;184.5;164.0;269.4;1199;1997;110;140;1505.0;24971.78125
702;renault;scenic;i;grand scenic 3 phase 1;456.0;184.5;164.5;277.0;1997;1997;140;140;1603.5;24971.78125
703;renault;scenic;i;grand scenic 3 phase 3;457.3;184.5;164.5;277.0;1199;1199;131;131;1576.0;23946.875
704;renault;scenic;scă©nic 3 (2009 - 2016);grand scenic 3 phase 3;457.3;184.5;164.5;277.0;1199;1199;131;131;1576.0;36058.71875
705;renault;scenic;scă©nic 3 (2009 - 2016);grand scenic 3 phase 2;457.3;184.5;164.5;276.9;1199;1997;110;140;1576.0;36058.71875
706;renault;talisman;talisman - 2021 facelift (2021 - present);talisman 2021 sport tourer;486.5;186.9;146.5;280.9;1333;1333;140;158;1617.5;64887.34375
707;renault;talisman;talisman (2015 - 2020);talisman;484.8;186.9;146.3;280.8;1332;1798;150;225;1531.5;64887.34375
708;renault;thalia;clio 1 (1990 - 1999);clio 1 phase 3;371.0;162.0;140.0;247.0;1149;1783;60;110;903.0;12208.166666666666
709;renault;thalia;clio 1 (1990 - 1999);clio 1 phase 2;370.9;162.5;139.5;247.2;1171;1998;54;150;902.5;12208.166666666666
710;renault;thalia;clio 1 (1990 - 1999);clio 1 phase 1;370.9;161.6;139.5;247.0;1171;1998;60;150;898.5;12208.166666666666
711;renault;thalia;clio 2 (1998 - 2012);clio 2 phase 1 5 doors;377.3;163.9;141.7;247.2;1149;1598;58;110;960.0;7375.59375
